disc_year,hostname,pl_dens,pl_letter,pl_massj,pl_orbper,pl_orbsmax,pl_radj,st_lum,st_rad,st_spectype,sy_bmag,sy_dist,sy_vmag
2014,"Kepler-321",,"c",,13.09392100,0.110000,0.207,,1.19,,13.7070000,384.5420000,12.9180000
2014,"Kepler-294",,"b",,3.70121200,0.048000,0.158,,0.98,,16.8920000,1357.0100000,15.9480000
2016,"Kepler-866",,"b",,2.61703254,,0.145,,0.71,,17.2180000,646.6670000,16.1240000
2014,"Kepler-329",,"c",,18.68473700,0.113000,0.172,,0.52,,17.3310000,439.7190000,15.8860000
2014,"Kepler-335",,"b",,6.56233100,0.075000,0.302,,1.85,,14.4220000,1278.9700000,14.1110000
2014,"Kepler-219",,"c",,22.71461300,0.165000,0.319,,1.49,,14.5940000,787.0700000,13.8230000
2016,"Kepler-554",,"b",,1.90220856,,0.383,,0.92,,15.3180000,690.5250000,14.4900000
2010,"HIP 78530",,"b",23.00000,,740.000000,,,,"B9 V",,136.7590000,7.1691000
2012,"Kepler-79",0.62000,"c",0.01900,27.40290000,0.187000,0.332,0.342,1.30,,14.5480000,1020.7200000,14.0360000
2016,"Kepler-1565",,"b",,1.53818844,,0.106,,0.73,,15.0500000,629.9300000,15.3810000
2016,"Kepler-1198",,"b",,7.68477160,,0.131,,0.90,,15.9590000,743.0300000,14.9860000
2016,"Kepler-1398",,"b",,2.78815679,,0.080,,1.18,,14.4540000,852.2040000,13.7520000
2014,"Kepler-313",,"c",,32.27327300,0.208000,0.229,,1.54,,14.6590000,,14.3040000
2014,"Kepler-316",,"b",,2.24050800,0.027000,0.095,,0.52,,17.1570000,384.9380000,15.8100000
2014,"Kepler-319",,"b",,4.36270500,0.051000,0.145,,0.90,,14.8600000,503.4360000,13.9260000
2014,"Kepler-325",,"c",,12.76217200,0.105000,0.227,,1.00,,15.9560000,823.2420000,15.1750000
2014,"Kepler-256",,"b",,1.62049300,0.027000,0.142,,1.30,,15.9090000,1026.4300000,15.1780000
2014,"Kepler-137",,"b",,8.43638700,0.077000,0.131,,0.80,,13.8790000,302.9790000,13.0630000
2014,"Kepler-142",,"b",,2.02415200,0.032000,0.178,,1.27,,14.1010000,548.6860000,13.2770000
2014,"Kepler-142",,"d",,41.80911800,0.242000,0.193,,1.27,,14.1010000,548.6860000,13.2770000
2016,"Kepler-1045",,"b",,26.41045478,,0.240,,0.82,,16.3040000,942.4850000,15.8790000
