rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,rowupdate,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_disc,st_sp,st_spstr,st_sperr,st_splim,st_spblend,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_lumblend,st_bmvj,st_bmvjerr,st_bmvjlim,st_bmvjblend
404,HD 207832,b,Radial Velocity,2,161.97000000,0.97000000,-0.78000000,0,0.570000,0.002000,-0.002000,0,0.130000,0.180000,-0.050000,0,,,,,0.56000,0.06000,-0.03000,0,Msini,,,,,,,,,0,0,0,21h52m36.28s,328.151184,-26d01m35.6s,-26.026560,55.31,3.42,-3.90,0,8.786,0.014,0,0,V (Johnson),5710.00,81.00,,0,,0.94,0.10,,0,,0.90,0.06,,0,,2015-09-10,,,,,2012,4.50,G5 V,,0,0,-0.112,0.051,,0,,0.694,0.025,0,0
405,HD 207832,c,Radial Velocity,2,1155.70000000,71.90000000,-37.00000000,0,2.112000,0.087000,-0.045000,0,0.270000,0.220000,-0.100000,0,,,,,0.73000,0.18000,-0.05000,0,Msini,,,,,,,,,0,0,0,21h52m36.28s,328.151184,-26d01m35.6s,-26.026560,55.31,3.42,-3.90,0,8.786,0.014,0,0,V (Johnson),5710.00,81.00,,0,,0.94,0.10,,0,,0.90,0.06,,0,,2015-09-10,,,,,2012,4.50,G5 V,,0,0,-0.112,0.051,,0,,0.694,0.025,0,0
406,HD 20794,b,Radial Velocity,3,18.31500000,0.00800000,-0.00800000,0,0.120700,0.002000,-0.002000,0,0.000000,,,0,90.000,,,0,0.00850,0.00090,-0.00090,0,Msin(i)/sin(i),,,,,,,,,0,0,0,03h19m55.65s,49.981876,-43d04m11.2s,-43.069782,6.06,0.02,-0.02,0,4.270,,0,0,V (Johnson),5401.00,17.00,-17.00,0,0,0.70,,,0,0,,,,,0,2015-08-27,,,,,2011,4.80,G8 V,,0,0,,,,,0,0.710,,0,0
407,HD 20794,c,Radial Velocity,3,40.11400000,0.05300000,-0.05300000,0,0.203600,0.003400,-0.003400,0,0.000000,,,0,90.000,,,0,0.00760,0.00130,-0.00130,0,Msin(i)/sin(i),,,,,,,,,0,0,0,03h19m55.65s,49.981876,-43d04m11.2s,-43.069782,6.06,0.02,-0.02,0,4.270,,0,0,V (Johnson),5401.00,17.00,-17.00,0,0,0.70,,,0,0,,,,,0,2015-08-27,,,,,2011,4.80,G8 V,,0,0,,,,,0,0.710,,0,0
408,HD 20794,d,Radial Velocity,3,90.30900000,0.18400000,-0.18400000,0,0.349900,0.005900,-0.005900,0,0.000000,,,0,90.000,,,0,0.01500,0.00200,-0.00200,0,Msin(i)/sin(i),,,,,,,,,0,0,0,03h19m55.65s,49.981876,-43d04m11.2s,-43.069782,6.06,0.02,-0.02,0,4.270,,0,0,V (Johnson),5401.00,17.00,-17.00,0,0,0.70,,,0,0,,,,,0,2015-08-27,,,,,2011,4.80,G8 V,,0,0,,,,,0,0.710,,0,0
409,HD 208487,b,Radial Velocity,1,130.08000000,0.51000000,-0.51000000,0,0.524000,0.030000,-0.030000,0,0.240000,0.160000,-0.160000,0,,,,,0.52000,0.08200,-0.08200,0,Msini,,,,,,,,,0,0,0,21h57m19.85s,329.332703,-37d45m49.0s,-37.763622,44.00,2.00,-2.00,0,7.471,0.012,0,0,V (Johnson),6067.00,,,0,0,1.13,,,0,0,,,,,0,2014-11-05,,,,,2004,4.20,G2 V,,0,0,,,,,0,0.552,0.021,0,0
410,HD 208527,b,Radial Velocity,1,875.50000000,5.80000000,-5.80000000,0,2.100000,0.200000,-0.200000,0,0.080000,0.040000,-0.040000,0,,,,,9.90000,1.70000,-1.70000,0,Msini,,,,,,,,,0,0,0,21h56m23.99s,329.099945,+21d14m23.5s,21.239859,352.11,75.10,-130.98,0,6.400,,0,0,V (Johnson),4035.00,65.00,-65.00,0,0,1.60,0.40,-0.40,0,0,51.10,8.30,-8.30,0,0,2014-05-14,,,,,2012,6.10,M1 III,,0,0,,,,,,,,,
411,HD 20868,b,Radial Velocity,1,380.85000000,0.09000000,-0.09000000,0,0.947000,0.012000,-0.012000,0,0.750000,0.002000,-0.002000,0,,,,,1.99000,0.05000,-0.05000,0,Msini,,,,,,,,,0,0,0,03h20m42.69s,50.177895,-33d43m48.4s,-33.730103,48.90,3.50,-3.50,0,9.920,,0,0,V (Johnson),4795.00,124.00,-124.00,0,0,0.78,0.03,-0.03,0,0,0.79,,,0,0,2014-11-05,,,,,2008,5.35,K3/4 IV,,0,0,-0.529,0.055,-0.055,0,0,1.037,,0,0
412,HD 209458,b,Radial Velocity,1,3.52474859,0.00000038,-0.00000038,0,0.047470,0.000550,-0.000550,0,,,,,86.590,0.046,-0.046,0,0.71400,0.01700,-0.01700,0,Mass,1.380,0.017,-0.017,0,0.36200,0.00500,-0.00500,0,0,0,1,22h03m10.77s,330.794891,+18d53m03.5s,18.884319,47.08,2.12,-2.33,0,,,,,,6117.00,50.00,-50.00,0,0,1.15,0.04,-0.04,0,0,1.16,0.01,-0.01,0,0,2014-08-21,0.71400,0.01700,-0.01700,0,1999,3.80,F8,,0,0,,,,,0,0.579,0.021,0,0
413,HD 210277,b,Radial Velocity,1,442.19000000,0.50000000,-0.50000000,0,1.138000,0.066000,-0.066000,0,0.476000,0.017000,-0.017000,0,,,,,1.29000,0.11000,-0.11000,0,Msini,,,,,,,,,0,0,0,22h09m29.87s,332.374451,-07d32m55.2s,-7.548654,21.29,0.35,-0.36,0,6.530,,0,0,V (Johnson),5555.00,,,0,0,1.01,,,0,0,,,,,0,2014-11-19,,,,,1998,4.90,G8/K0 V,,0,0,,,,,0,0.750,,0,0
414,HD 210702,b,Radial Velocity,1,354.80000000,1.10000000,-1.10000000,0,1.200000,,,0,0.094000,0.052000,-0.052000,0,,,,,1.90000,,,0,Msini,,,,,,,,,0,0,0,22h11m51.33s,332.963867,+16d02m26.0s,16.040550,55.93,2.22,-2.41,0,,,,,,4967.00,25.00,,0,,1.68,0.18,,0,,5.10,0.40,,0,,2015-09-03,,,,,2007,5.10,K1 III,,0,0,1.149,,,0,,0.950,,0,0
415,HD 212301,b,Radial Velocity,1,2.24571500,0.00002800,-0.00002800,0,0.036000,,,0,0.000000,,,0,,,,,0.45000,,,0,Msini,,,,,,,,,0,0,0,22h27m30.92s,336.878845,-77d43m04.5s,-77.717926,52.72,1.95,-2.11,0,7.764,0.011,0,0,V (Johnson),6256.00,28.00,-28.00,0,0,1.27,0.02,-0.02,0,0,,,,,0,2014-05-14,,,,,2005,3.80,F8 V,,0,0,0.243,0.024,-0.026,0,0,0.550,0.019,0,0
416,HD 212771,b,Radial Velocity,1,373.30000000,3.40000000,-3.40000000,0,1.220000,0.030000,-0.030000,0,0.111000,0.060000,-0.060000,0,,,,,2.30000,0.40000,-0.40000,0,Msini,,,,,,,,,0,0,0,22h27m03.07s,336.762787,-17d15m49.2s,-17.263659,121.80,13.93,-18.06,0,7.595,0.014,0,0,V (Johnson),5121.00,44.00,-44.00,0,0,1.15,0.08,-0.08,0,0,5.00,0.10,-0.10,0,0,2014-05-14,,,,,2009,4.80,G8 IV,,0,0,1.188,0.014,-0.014,0,0,0.885,0.025,0,0
417,HD 213240,b,Radial Velocity,1,951.00000000,42.00000000,-42.00000000,0,2.030000,,,0,0.450000,0.040000,-0.040000,0,,,,,4.50000,,,0,Msini,,,,,,,,,0,0,0,22h31m00.37s,337.751526,-49d25m59.8s,-49.433270,40.75,1.30,-1.39,0,6.814,0.010,0,0,V (Johnson),,,,,,,,,,,,,,,,2015-04-30,,,,,2001,4.05,G0/1 V,,0,0,,,,,,0.611,0.018,0,0
418,HD 215497,b,Radial Velocity,2,3.93404000,0.00066000,-0.00066000,0,0.047000,,,0,0.160000,0.090000,-0.090000,0,,,,,0.02000,,,0,Msini,,,,,,,,,0,0,0,22h46m36.75s,341.653137,-56d35m58.3s,-56.599533,43.53,2.25,-2.51,0,8.960,,0,0,V (Johnson),5113.00,93.00,-93.00,0,0,0.87,0.02,-0.02,0,0,,,,,0,2014-11-19,,,,,2009,5.30,K3 V,,0,0,-0.410,,,0,0,0.950,,0,0
419,HD 215497,c,Radial Velocity,2,567.94000000,2.70000000,-2.70000000,0,1.282000,,,0,0.490000,0.040000,-0.040000,0,,,,,0.33000,,,0,Msini,,,,,,,,,0,0,0,22h46m36.75s,341.653137,-56d35m58.3s,-56.599533,43.53,2.25,-2.51,0,8.960,,0,0,V (Johnson),5113.00,93.00,-93.00,0,0,0.87,0.02,-0.02,0,0,,,,,0,2014-11-19,,,,,2009,5.30,K3 V,,0,0,-0.410,,,0,0,0.950,,0,0
420,HD 216435,b,Radial Velocity,1,1311.00000000,49.00000000,-49.00000000,0,2.560000,0.170000,-0.170000,0,0.070000,0.078000,-0.078000,0,,,,,1.26000,0.13000,-0.13000,0,Msini,,,,,,,,,0,0,0,22h53m37.93s,343.408051,-48d35m53.8s,-48.598286,33.29,0.79,-0.83,0,6.030,,0,0,V (Johnson),5999.00,60.00,-60.00,0,0,1.30,,,0,0,,,,,0,2014-07-23,,,,,2002,4.00,G0 V,,0,0,,,,,0,0.620,,0,0
421,HD 216437,b,Radial Velocity,1,1256.00000000,35.00000000,-35.00000000,0,2.320000,,,0,0.290000,0.120000,-0.120000,0,,,,,1.82000,,,0,Msini,,,,,,,,,0,0,0,22h54m39.48s,343.664520,-70d04m25.3s,-70.073708,26.52,0.40,-0.41,0,6.050,,0,0,V (Johnson),,,,,0,1.15,0.10,-0.10,0,0,,,,,0,2015-04-24,,,,,2002,4.25,G2/3 IV,,0,0,,,,,0,0.660,,0,0
422,HD 216536,b,Radial Velocity,1,148.60000000,0.70000000,-0.70000000,0,0.609000,0.002000,-0.002000,0,0.380000,0.120000,-0.100000,0,,,,,1.47000,0.20000,-0.12000,0,Msini,,,,,,,,,0,0,0,22h53m03.98s,343.266598,+44d28m39.9s,44.477753,,,,,9.230,0.020,0,0,V (Johnson),4639.00,45.00,-45.00,0,0,1.36,0.38,-0.38,0,0,12.50,4.00,-4.00,0,0,2015-02-05,,,,,2015,5.00,K0,,0,0,1.800,0.210,-0.210,0,0,1.190,0.040,0,0
